team_id,team_name,seen_fixture_count,example_fixture_id
1532,Algeria,3,1489381
26,Argentina,4,1489381
20,Australia,4,1489391
775,Austria,3,1489382
1,Belgium,4,1489377
1113,Bosnia & Herzegovina,4,1539000
6,Brazil,4,1489371
5529,Canada,4,1489387
1533,Cape Verde Islands,4,1489380
8,Colombia,4,1489386
1508,Congo DR,4,1539003
3,Croatia,4,1489384
5530,Curaçao,3,1489374
770,Czechia,3,1538999
2382,Ecuador,4,1489375
32,Egypt,4,1489377
10,England,4,1489384
2,France,4,1489383
25,Germany,4,1489374
1504,Ghana,4,1489385
2386,Haiti,3,1489372
22,Iran,3,1489378
1567,Iraq,3,1539016
1501,Ivory Coast,4,1489375
12,Japan,4,1489376
1548,Jordan,3,1489382
16,Mexico,4,1489369
31,Morocco,4,1489371
1118,Netherlands,4,1489376
4673,New Zealand,3,1489378
1090,Norway,4,1489401
11,Panama,3,1489385
2380,Paraguay,4,1489370
27,Portugal,4,1489404
1569,Qatar,3,1489373
23,Saudi Arabia,3,1489379
1108,Scotland,3,1489372
13,Senegal,4,1489383
1531,South Africa,4,1489369
17,South Korea,3,1489388
9,Spain,3,1489380
5,Sweden,4,1539002
15,Switzerland,3,1489373
28,Tunisia,3,1489394
777,Türkiye,3,1539001
7,Uruguay,3,1489379
2384,USA,4,1489370
1568,Uzbekistan,3,1489386
